user_id,user_name,user_role,activity_date,login_time,access_count,resource_type,label
U001,user001,HR,2025-01-01,10:22,21,General,normal
U001,user001,HR,2025-01-01,08:31,11,General,normal
U001,user001,HR,2025-01-01,10:14,46,HR,normal
U001,user001,HR,2025-01-01,09:21,36,Customer,normal
U002,user002,Finance,2025-01-01,08:54,35,Finance,normal
U002,user002,Finance,2025-01-01,08:55,20,Finance,normal
U002,user002,Finance,2025-01-01,08:11,27,Confidential,normal
U002,user002,Finance,2025-01-01,10:10,33,Finance,normal
U003,user003,Engineering,2025-01-01,10:30,48,Engineering,normal
U003,user003,Engineering,2025-01-01,10:13,97,Engineering,normal
U003,user003,Engineering,2025-01-01,09:14,39,General,normal
U003,user003,Engineering,2025-01-01,10:24,26,General,normal
U003,user003,Engineering,2025-01-01,10:55,39,General,normal
U003,user003,Engineering,2025-01-01,10:37,57,Engineering,normal
U003,user003,Engineering,2025-01-01,09:38,66,General,normal
U003,user003,Engineering,2025-01-01,06:47,67,Engineering,normal
U004,user004,Sales,2025-01-01,08:26,26,Customer,normal
U004,user004,Sales,2025-01-01,07:28,32,Customer,normal
U004,user004,Sales,2025-01-01,08:10,19,General,normal
U004,user004,Sales,2025-01-01,08:41,40,Customer,normal
U004,user004,Sales,2025-01-01,08:57,27,General,normal
U005,user005,Admin,2025-01-01,08:45,27,General,normal
U005,user005,Admin,2025-01-01,07:37,47,General,normal
U005,user005,Admin,2025-01-01,08:57,46,General,normal
U005,user005,Admin,2025-01-01,09:36,15,Admin,normal
U005,user005,Admin,2025-01-01,07:10,56,General,normal
U005,user005,Admin,2025-01-01,07:48,22,Admin,normal
U005,user005,Admin,2025-01-01,07:03,40,Confidential,normal
U005,user005,Admin,2025-01-01,09:05,5,Confidential,normal
U006,user006,HR,2025-01-01,08:45,33,Confidential,normal
U006,user006,HR,2025-01-01,07:50,8,HR,normal
U006,user006,HR,2025-01-01,08:07,27,General,normal
U006,user006,HR,2025-01-01,09:43,22,General,normal
U006,user006,HR,2025-01-01,08:20,14,HR,normal
U006,user006,HR,2025-01-01,08:57,28,HR,normal
U006,user006,HR,2025-01-01,08:08,32,Admin,normal
U007,user007,Finance,2025-01-01,08:56,40,Finance,normal
U007,user007,Finance,2025-01-01,09:00,40,Finance,normal
U007,user007,Finance,2025-01-01,10:43,28,Finance,normal
U007,user007,Finance,2025-01-01,10:01,32,Finance,normal
U007,user007,Finance,2025-01-01,06:41,16,Finance,normal
U007,user007,Finance,2025-01-01,07:00,36,General,normal
U007,user007,Finance,2025-01-01,07:18,4,General,normal
U007,user007,Finance,2025-01-01,07:46,38,General,normal
U008,user008,Engineering,2025-01-01,08:08,72,General,normal
U008,user008,Engineering,2025-01-01,10:39,43,Engineering,normal
U008,user008,Engineering,2025-01-01,10:48,49,SourceCode,normal
U008,user008,Engineering,2025-01-01,09:11,55,Engineering,normal
U008,user008,Engineering,2025-01-01,06:58,27,General,normal
